,Date,Open,High,Low,ETH_Close,Adj Close,Volume,M2_Supply,M2_Change,ETH_Change
4,2017-12-04,466.053986,504.147003,414.411011,441.721008,441.721008,12094509888,13928.375,0.7978651228006672,-5.180172534126692
9,2018-01-08,1158.26001,1432.880005,1016.049988,1366.77002,1366.77002,48677970944,13884.18,-0.3173019106679664,18.522851604702282
13,2018-02-05,834.958008,917.400024,574.419006,814.659973,814.659973,26305170176,13839.275,-0.323425654233811,-2.3987619035856333
17,2018-03-05,866.846008,869.919983,648.106995,723.338989,723.338989,13237279872,14005.35,1.2000267355045668,-16.538898353617924
21,2018-04-02,379.699005,418.967987,366.911011,400.507996,400.507996,7831139008,14078.76,0.5241568400646823,5.50595781302714
26,2018-05-07,793.338989,795.757996,644.065979,733.495972,733.495972,21184490240,13975.55,-0.7330901300966919,-7.423221933058821
30,2018-06-04,619.437012,623.429016,511.889008,526.479004,526.479004,12776339968,14066.95,0.6539993059307303,-14.85454800267415
34,2018-07-02,453.824005,503.199005,447.110992,489.118988,489.118988,11018640000,14106.02,0.27774322081191016,7.754922492068883
39,2018-08-06,410.566986,414.540009,308.488007,319.570007,319.570007,11961110000,14160.95,0.389408210111708,-22.154066100679625
43,2018-09-03,295.181,295.591003,188.306,196.923996,196.923996,12218500000,14198.8,0.26728432767575416,-33.10346648886292
48,2018-10-08,226.509003,230.764999,188.707001,195.714996,195.714996,10252300000,14199.92,0.007887990534416467,-13.446020279861216
52,2018-11-05,207.100006,221.651993,206.572998,211.339996,211.339996,11601470000,14242.1,0.29704392700804494,1.8574767206453124
56,2018-12-03,116.378761,116.619064,83.469719,95.142059,95.142059,14107378338,14433.86,1.3464306527829484,-18.255041346253453
61,2019-01-07,157.809494,158.450424,116.085968,116.897804,116.897804,18086850583,14434.375,0.00356799913536765,-25.895011569882442
65,2019-02-04,107.625824,124.853622,102.934563,124.806488,124.806488,19617823832,14387.625,-0.3238796276250233,16.106977640558707
69,2019-03-04,132.157883,140.85788,125.402702,136.758682,136.758682,31970455850,14546.35,1.103205011250985,3.4096648590216994
74,2019-04-08,174.449677,184.377853,161.029739,167.838516,167.838516,48696587657,14628.16,0.5624091266881237,-3.8349096654087034
78,2019-05-06,163.337982,203.466644,159.98819,187.325317,187.325317,59856021616,14561.3,-0.4570636361647673,14.606617252826815
82,2019-06-03,270.088562,270.334106,229.257431,233.0867,233.0867,59494279379,14718.475,1.0794022511726453,-13.74364061278075
87,2019-07-08,305.734772,318.223114,227.269211,227.578064,227.578064,64474442450,14801.84,0.5663969942538261,-25.5552353220731
91,2019-08-05,222.650879,239.115906,203.793106,216.092865,216.092865,49136843740,14888.7,0.5868189360241693,-2.9536386365665135
95,2019-09-02,171.697601,182.977081,168.341339,181.35553,181.35553,45055593571,14978.5,0.6031419801594495,5.666921624890375
100,2019-10-07,172.940338,195.318802,171.527817,182.07515,182.07515,56130669074,15108.375,0.8670761424708795,5.209783686493807
104,2019-11-04,182.319031,193.547256,181.821609,189.47728,189.47728,65020785596,15238.725,0.8627665119511629,3.86584147137099
108,2019-12-02,151.175476,153.155396,145.000885,151.264725,151.264725,46298515511,15396.9,1.0379805397104924,0.052250301665379695
113,2020-01-06,136.305542,146.828003,135.520401,145.873932,145.873932,62381414344,15409.6,0.08248413641707142,7.042397883501472
117,2020-02-03,188.607407,229.864243,185.403625,228.578568,228.578568,103844093984,15360.25,-0.3202549060326021,21.18627484152613
121,2020-03-02,218.711624,249.978485,200.602982,200.689056,200.689056,135115381288,15947.68,3.8243518171904745,-8.348856117649694
126,2020-04-06,143.608215,175.204132,143.544601,161.142426,161.142426,121920291111,17047.925,6.899091278480629,12.257883057748353
130,2020-05-04,210.890854,216.327682,182.711166,188.599564,188.599564,150152686073,17698.9,3.818499905413719,-10.58799287552482
135,2020-06-08,245.178574,249.888306,229.645065,234.1147,234.1147,61122813318,18060.2,2.0413698026430893,-4.508168162687564
139,2020-07-06,227.685013,248.308868,227.029526,242.131699,242.131699,53066933316,18257.25,1.0910731885582559,6.354568163270469
143,2020-08-03,371.13385,406.303955,367.935516,391.120453,391.120453,82646258586,18299.62,0.23207219049965477,5.516668735793129
148,2020-09-07,353.450256,388.959808,326.254364,365.570007,365.570007,141321660574,18536.4,1.2939066494277007,3.4547358046490118
152,2020-10-05,352.736816,378.267151,334.545563,375.142059,375.142059,89277738125,18652.3,0.6252562525625116,6.3994305843674715
156,2020-11-02,396.355988,465.675476,371.312744,453.554779,453.554779,104056836726,18944.02,1.5639894275772948,14.43053181808267
161,2020-12-07,601.797119,602.917908,532.998413,589.663208,589.663208,81351653045,19219.525,1.4543111757694627,-2.0344917688611908
165,2021-01-04,977.058838,1347.926147,912.305359,1262.246704,1262.246704,301834730092,19354.425,0.7018903953141198,29.39382405073607
170,2021-02-08,1613.642212,1871.603516,1571.579956,1805.084106,1805.084106,274834235664,19452.6,0.5072483424333196,11.823382363379874
174,2021-03-08,1724.229248,1937.645508,1670.942017,1854.564331,1854.564331,167054641757,19851.6,2.051139693408599,7.626163219652571
178,2021-04-05,2093.260742,2196.996338,1945.442139,2157.656982,2157.656982,184033037350,20247.6,1.9948014265852576,3.0831530241563154
182,2021-05-03,2951.175781,3981.259033,2951.175781,3928.844727,3928.844727,344594950620,20284.96,0.1845156956874039,33.08841447132473
187,2021-06-07,2713.047363,2845.185059,2265.758057,2508.391602,2508.391602,214989180606,20400.475,0.5694613151812966,-7.613042657529833
191,2021-07-05,2321.922852,2403.773438,2051.06665,2139.664795,2139.664795,141898628328,20544.875,0.7078266559969792,-7.841557244173547
195,2021-08-02,2557.774658,3184.604004,2449.353516,3013.732666,3013.732666,188999816781,20733.34,0.9173333982319232,17.638825584155484
200,2021-09-06,3951.520752,3968.426514,3062.222412,3410.134521,3410.134521,171456032652,20914.2,0.8723148320531005,-13.71408677942334
204,2021-10-04,3418.776367,3667.95752,3283.44873,3425.852783,3425.852783,120426108412,21069.925,0.7445898002314211,0.21923211642365104
209,2021-11-08,4619.649414,4859.50293,4485.093262,4626.358887,4626.358887,125752889256,21295.06,1.0685135329148165,0.1256169311246058
213,2021-12-06,4199.0,4482.313965,3846.054443,4134.453125,4134.453125,152799880859,21634.775,1.595276087505737,-1.5213129800263014
217,2022-01-03,3829.535645,3876.785156,3020.880859,3157.751465,3157.751465,121333429463,21641.82,0.03256331531065193,-17.54281455857939
222,2022-02-07,3057.422119,3271.316162,2845.397705,2883.463379,2883.463379,101267138646,21584.725,-0.26381792289188466,-5.6913837030405645
226,2022-03-07,2555.297607,2761.796387,2455.59375,2518.94458,2518.94458,83530580780,21842.65,1.1949422566189805,-1.4126123809303892
230,2022-04-04,3522.36499,3546.706787,3155.581055,3211.866943,3211.866943,115161750801,21913.275,0.3233353095892566,-8.827171461639816
234,2022-05-02,2827.614014,2956.686768,2498.430176,2517.459961,2517.459961,127664655328,21556.04,-1.630221863231307,-10.973228651547096
239,2022-06-06,1805.635986,1915.030518,1436.18396,1445.216553,1445.216553,133690012415,21569.525,0.06255787241069566,-19.941691485141266
243,2022-07-04,1073.794312,1262.885742,1048.396362,1168.401611,1168.401611,95592580424,21579.625,0.04682532415525298,8.81333155333197
248,2022-08-08,1699.693481,2022.791504,1665.090454,1936.802002,1936.802002,127819380138,21546.2,-0.15489147749323529,13.973051815321735
252,2022-09-05,1577.884033,1784.497803,1500.013672,1761.800049,1761.800049,119025564693,21504.375,-0.1941177562632901,11.673021728543386
256,2022-10-03,1276.163452,1380.404907,1271.150879,1322.604248,1322.604248,63453338237,21415.72,-0.41226494608654907,3.6447753852921982
261,2022-11-07,1572.016968,1604.475342,1083.285645,1221.819214,1221.819214,167376418418,21406.9,-0.04118469983731554,-22.287735912585326
265,2022-12-05,1279.998901,1302.237549,1224.447998,1263.86853,1263.86853,35539736910,21443.575,0.17132326492859118,-1.280060739573996
269,2023-01-02,1201.103271,1287.359497,1195.214966,1287.359497,1287.359497,28602489223,21310.46,-0.6207686917876432,7.193770361524399
274,2023-02-06,1631.645264,1688.527222,1501.462036,1515.033691,1515.033691,52062302111,21139.125,-0.8039948457236434,-7.146905150081606
278,2023-03-06,1564.383179,1607.152588,1378.525391,1590.292969,1590.292969,67750677014,21059.125,-0.3784451816241208,1.6506701715838012
282,2023-04-03,1794.922485,1937.497559,1765.518921,1859.387817,1859.387817,58358563195,20913.575,-0.6911493236304911,3.5462158875451566
287,2023-05-08,1872.475098,1886.800293,1742.403809,1800.500977,1800.500977,52730036667,20700.18,-1.0203659584743452,-3.8746651434001134
291,2023-06-05,1890.417603,1896.222656,1721.443115,1753.415283,1753.415283,50365386091,20757.675,0.2777512079604971,-7.251906075997172
295,2023-07-03,1937.883789,1974.775024,1832.025391,1863.009766,1863.009766,43641786133,20732.24,-0.12253299080940971,-3.841597738907976
300,2023-08-07,1827.239502,1873.847168,1804.716675,1839.280151,1839.280151,29979899334,20694.05,-0.18420585522839206,0.6466955136243513
304,2023-09-04,1635.724731,1657.303711,1604.040527,1616.828857,1616.828857,29219769343,20673.5,-0.0993039061952583,-1.1789383662890063
308,2023-10-02,1732.984009,1743.563599,1609.849976,1633.548584,1633.548584,34530422036,20633.12,-0.19532251432994308,-5.782745307924886
313,2023-11-06,1894.0271,2134.691406,1852.790894,2045.187012,2045.187012,81688660158,20688.8,0.2698573943252347,7.973427756516038
317,2023-12-04,2193.66333,2401.760498,2191.17627,2352.462646,2352.462646,89616323733,20844.925,0.7546353582614795,7.237616827323912
322,2024-01-08,2222.857666,2710.421875,2171.993652,2472.241211,2472.241211,125618508717,20831.62,-0.06382848583048606,11.218636107716339
326,2024-02-05,2289.205566,2537.679199,2270.067871,2507.570557,2507.570557,63856317020,20740.4,-0.4378920122390717,9.52260406135872
330,2024-03-04,3489.340088,3998.826416,3224.119385,3881.193115,3881.193115,185721718353,20933.075,0.9289840118801962,11.177318033117988
335,2024-04-08,3453.498779,3727.616455,2862.393555,3156.941895,3156.941895,145805696901,20991.52,0.2791993054054309,-8.587033305619185
339,2024-05-06,3137.510254,3220.152344,2881.000732,2928.701904,2928.701904,72388895379,20825.55,-0.7906526063858221,-6.647451874909704
343,2024-06-03,3780.854248,3887.48584,3615.280273,3705.903809,3705.903809,91727708657,20957.725,0.6346771153703079,-1.9834501419594308
344,2024-06-10,3705.877197,3711.428711,3366.223877,3620.563477,3620.563477,99583224999,20957.725,0.0,-2.3028210228432267
345,2024-06-17,3622.383545,3634.2854,3371.590332,3418.611816,3418.611816,103027067436,20957.725,0.0,-5.5779069275519895
346,2024-06-24,3418.783203,3482.95752,3244.241455,3432.88916,3432.88916,87681546035,20957.725,0.0,0.4176357179010104
347,2024-07-01,3432.607422,3513.310791,2826.014404,2929.387207,2929.387207,111653332273,20957.725,0.0,-14.667002910166783
348,2024-07-08,2929.861572,3266.487549,2826.481689,3244.079102,3244.079102,99540552164,20957.725,0.0,10.74258446435552
349,2024-07-15,3246.131592,3546.619141,3235.776123,3536.605469,3536.605469,112438642513,20957.725,0.0,9.017239031553048
350,2024-07-22,3536.627197,3560.075439,3088.764404,3271.4646,3271.4646,124677659196,20957.725,0.0,-7.497044024957944
351,2024-07-29,3271.453369,3396.625732,2861.17749,2903.385742,2903.385742,107977979131,20957.725,0.0,-11.251194892954054
352,2024-08-04,2902.10791,2930.056641,2647.396729,2703.095459,2703.095459,19991566336,20957.725,0.0,-6.8985074942893965
